"TOA5","MET_N","CR1000","E5303","CR1000.Std.24","CPU:WSL_LWF_K11.CR1","234","Konfiguration"
"TIMESTAMP","RECORD","Stationskennung","Status","Faktor_PLUV","Faktor_SRAD","Faktor_PAR","Faktor_UVB"
"TS","RN","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2013-07-03 09:54:40",0,1,1,0.2,100,100,6.667
"2013-07-03 15:54:40",1,1,1,0.2,100,100,6.667
"2013-09-05 09:22:45",2,1,1,0.2,100,100,6.667
"2013-09-09 08:08:10",3,1,1,0.2,100,100,6.667
"2013-12-09 10:52:45",4,1,1,0.2,100,100,6.667
"2013-12-13 09:37:55",5,1,1,0.2,100,100,6.667
"2013-12-13 09:44:15",6,1,1,0.2,100,100,6.667
"2013-12-13 10:24:55",7,1,1,0.2,100,100,6.667
"2013-12-13 10:25:10",8,1,1,0.2,100,100,6.667
"2013-12-13 10:26:10",9,1,1,0.2,100,100,6.667
"2013-12-13 13:22:25",10,1,1,0.2,100,100,6.667
"2013-12-13 13:23:05",11,1,1,0.2,100,100,6.667
"2013-12-13 13:43:00",12,1,1,0.2,100,100,90.2
"2013-12-13 13:45:05",13,1,1,0.2,100,100,90.2
"2013-12-13 13:46:05",14,1,1,0.199,100,100,90.2
"2014-09-05 12:16:15",15,1,1,0.199,100,100,90.2
"2014-09-05 12:36:35",16,1,1,0.199,100,100,90.2
"2014-09-05 15:08:15",17,1,1,0.199,100,100,90.2
"2014-09-08 10:38:10",18,1,1,0.199,100,100,90.2
