"TOA5","MET_N","CR1000","E5303","CR1000.Std.24","CPU:WSL_LWF_K11.CR1","234","Meteo"
"TIMESTAMP","RECORD","Stationskennung","Lufttemperatur","Luftfeuchtigkeit","Windgeschwindigkeit","Windrichtung","Windspitze","Niederschlag","Niederschlagssumme","Globalstrahlung","phot.akt.Strahlung","UVB_Strahlung","Batteriespannung","Loggertemperatur","Qualitaet"
"TS","RN","","deg_C","%","m/s","Deg","m/s","mm/10min","mm","W/m2","umol/m2s","W/m2","V","deg_C",""
"","","Smp","Avg","Avg","WVc","WVc","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Smp"
"2013-07-03 10:00:00",0,1,66.64,-0.002,0,0,0,0,0,"NAN","NAN",-7999,11.96,24.01,226
"2013-07-03 10:10:00",1,1,82.3,6.016,0,0,0,0,0,"NAN","NAN","NAN",12.75,25.66,226
"2013-07-03 10:20:00",2,1,85.4,12.73,0,0,0,0,0,"NAN","NAN","NAN",12.75,25.75,226
"2013-07-03 16:00:00",3,1,8.31,-3.898,0,0,0,0,0,"NAN","NAN",-1750,12.03,21.47,226
"2013-07-03 16:10:00",4,1,68.52,2.089,0,0,0,0,0,"NAN","NAN",-5538,12.79,23.17,226
"2013-07-03 16:20:00",5,1,80.4,12.07,0,0,0,0,0,"NAN","NAN",-7999,12.78,23.43,226
"2013-07-03 16:30:00",6,1,80.7,19.58,0,0,0,0,0,"NAN","NAN","NAN",12.78,23.62,226
"2013-07-03 16:40:00",7,1,80.3,25.14,0,0,0,0,0,"NAN","NAN","NAN",12.77,23.76,226
"2013-07-03 16:50:00",8,1,79.97,29.3,0,0,0,0,0,"NAN","NAN","NAN",12.77,23.87,226
"2013-07-03 17:00:00",9,1,79.61,32.44,0,0,0,0,0,"NAN","NAN","NAN",12.77,23.96,226
"2013-07-03 17:10:00",10,1,79.27,34.93,0,0,0,0,0,"NAN","NAN","NAN",12.76,24.02,226
"2013-07-03 17:20:00",11,1,78.84,36.77,0,0,0,0,0,"NAN","NAN","NAN",12.76,23.99,226
"2013-07-03 17:30:00",12,1,78.47,37.59,0,0,0,0,0,"NAN","NAN","NAN",12.76,23.42,226
"2013-07-03 17:40:00",13,1,78.19,38.17,0,0,0,0,0,"NAN","NAN","NAN",12.76,22.91,226
"2013-07-03 17:50:00",14,1,77.25,39.04,0,0,0,0,0,"NAN","NAN",-7999,12.76,22.93,226
"2013-07-03 18:00:00",15,1,76.43,39.92,0,0,0,0,0,"NAN","NAN",-7999,12.76,23.03,226
"2013-07-03 18:10:00",16,1,75.88,40.89,0,0,0,0,0,"NAN","NAN",-7999,12.76,23.13,226
"2013-07-03 18:20:00",17,1,75.53,41.97,0,0,0,0,0,"NAN","NAN",-7999,12.76,23.21,226
"2013-07-03 18:30:00",18,1,75.39,43.08,0,0,0,0,0,"NAN","NAN",-7999,12.76,23.29,226
"2013-07-03 18:40:00",19,1,75.34,44.08,0,0,0,0,0,"NAN","NAN",-7999,12.76,23.34,226
"2013-07-03 18:50:00",20,1,75.36,45.02,0,0,0,0,0,"NAN","NAN",-7999,12.76,23.38,226
"2013-07-03 19:00:00",21,1,75.42,45.88,0,0,0,0,0,"NAN","NAN",-7999,12.76,23.41,226
"2013-07-03 19:10:00",22,1,75.58,46.59,0,0,0,0,0,"NAN","NAN",-7999,12.75,23.42,226
"2013-07-03 19:20:00",23,1,75.72,47.17,0,0,0,0,0,"NAN","NAN",-7999,12.76,23.44,226
"2013-07-03 19:30:00",24,1,75.85,47.6,0,0,0,0,0,"NAN","NAN",-7999,12.76,23.44,226
"2013-07-03 19:40:00",25,1,76.07,47.99,0,0,0,0,0,"NAN","NAN",-7999,12.75,23.43,226
"2013-07-03 19:50:00",26,1,76.24,48.3,0,0,0,0,0,"NAN","NAN",-7999,12.76,23.42,226
"2013-07-03 20:00:00",27,1,76.4,48.59,0,0,0,0,0,"NAN","NAN",-7999,12.75,23.4,226
"2013-07-03 20:10:00",28,1,76.59,48.91,0,0,0,0,0,"NAN","NAN",-7999,12.75,23.38,226
"2013-07-03 20:20:00",29,1,76.77,49.18,0,0,0,0,0,"NAN","NAN",-7999,12.76,23.35,226
"2013-07-03 20:30:00",30,1,76.91,49.41,0,0,0,0,0,"NAN","NAN",-7999,12.75,23.32,226
"2013-07-03 20:40:00",31,1,77.07,49.58,0,0,0,0,0,"NAN","NAN",-7999,12.75,23.3,226
"2013-07-03 20:50:00",32,1,77.17,49.71,0,0,0,0,0,"NAN","NAN",-7999,12.75,23.27,226
"2013-07-03 21:00:00",33,1,77.34,49.87,0,0,0,0,0,"NAN","NAN",-7999,12.75,23.25,226
"2013-07-03 21:10:00",34,1,77.49,50.03,0,0,0,0,0,"NAN","NAN",-7999,12.75,23.22,226
"2013-07-03 21:20:00",35,1,77.65,50.13,0,0,0,0,0,"NAN","NAN",-7999,12.75,23.19,226
"2013-07-03 21:30:00",36,1,77.77,50.24,0,0,0,0,0,"NAN","NAN",-7999,12.75,23.16,226
"2013-07-03 21:40:00",37,1,77.91,50.32,0,0,0,0,0,"NAN","NAN",-7999,12.75,23.13,226
"2013-07-03 21:50:00",38,1,77.98,50.45,0,0,0,0,0,"NAN","NAN",-7999,12.75,23.1,226
"2013-07-03 22:00:00",39,1,78.12,50.52,0,0,0,0,0,"NAN","NAN",-7999,12.75,23.08,226
"2013-07-03 22:10:00",40,1,78.23,50.59,0,0,0,0,0,"NAN","NAN",-7999,12.75,23.05,226
"2013-07-03 22:20:00",41,1,78.39,50.68,0,0,0,0,0,"NAN","NAN",-7999,12.75,23.02,226
"2013-07-03 22:30:00",42,1,78.5,50.78,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.99,226
"2013-07-03 22:40:00",43,1,78.62,50.86,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.96,226
"2013-07-03 22:50:00",44,1,78.69,50.93,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.91,226
"2013-07-03 23:00:00",45,1,78.74,50.97,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.89,226
"2013-07-03 23:10:00",46,1,78.79,50.99,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.87,226
"2013-07-03 23:20:00",47,1,78.89,51,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.85,226
"2013-07-03 23:30:00",48,1,79,51.03,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.83,226
"2013-07-03 23:40:00",49,1,79.09,51.03,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.79,226
"2013-07-03 23:50:00",50,1,79.18,51.05,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.77,226
"2013-07-04 00:00:00",51,1,79.29,51.08,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.74,226
"2013-07-04 00:10:00",52,1,79.36,51.11,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.73,226
"2013-07-04 00:20:00",53,1,79.44,51.15,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.7,226
"2013-07-04 00:30:00",54,1,79.5,51.15,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.68,226
"2013-07-04 00:40:00",55,1,79.58,51.12,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.67,226
"2013-07-04 00:50:00",56,1,79.68,51.17,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.64,226
"2013-07-04 01:00:00",57,1,79.79,51.21,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.61,226
"2013-07-04 01:10:00",58,1,79.77,51.22,0,0,0,0,0,"NAN","NAN",-7999,12.74,22.6,226
"2013-07-04 01:20:00",59,1,79.75,51.2,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.59,226
"2013-07-04 01:30:00",60,1,79.8,51.15,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.59,226
"2013-07-04 01:40:00",61,1,79.92,51.13,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.56,226
"2013-07-04 01:50:00",62,1,80,51.14,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.55,226
"2013-07-04 02:00:00",63,1,80.1,51.16,0,0,0,0,0,"NAN","NAN",-7999,12.75,22.51,226
