"TOA5","UIT_B","CR1000","E5303","CR1000.Std.24","CPU:UIT_B.CR1","57894","Konfiguration"
"TIMESTAMP","RECORD","Stationskennung","Status","Faktor_PLUV","Faktor_SRAD","Faktor_PAR","Faktor_UVB"
"TS","RN","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2014-10-19 02:10:00",581,122,1,0.2,100,100,6.667
"2014-10-19 02:20:00",582,122,1,0.2,100,100,6.667
"2014-10-19 02:30:00",583,122,1,0.2,100,100,6.667
"2014-10-19 02:40:00",584,122,1,0.2,100,100,6.667
"2014-10-19 02:50:00",585,122,1,0.2,100,100,6.667
"2014-10-19 03:00:00",586,122,1,0.2,100,100,6.667
"2014-10-19 03:10:00",587,122,1,0.2,100,100,6.667
"2014-10-19 03:20:00",588,122,1,0.2,100,100,6.667
"2014-10-19 03:30:00",589,122,1,0.2,100,100,6.667
"2014-10-19 03:40:00",590,122,1,0.2,100,100,6.667
"2014-10-19 03:50:00",591,122,1,0.2,100,100,6.667
"2014-10-19 04:00:00",592,122,1,0.2,100,100,6.667
"2014-10-19 04:10:00",593,122,1,0.2,100,100,6.667
"2014-10-19 04:20:00",594,122,1,0.2,100,100,6.667
"2014-10-19 04:30:00",595,122,1,0.2,100,100,6.667
"2014-10-19 04:40:00",596,122,1,0.2,100,100,6.667
"2014-10-19 04:50:00",597,122,1,0.2,100,100,6.667
"2014-10-19 05:00:00",598,122,1,0.2,100,100,6.667
"2014-10-19 05:10:00",599,122,1,0.2,100,100,6.667
"2014-10-19 05:20:00",600,122,1,0.2,100,100,6.667
"2014-10-19 05:30:00",601,122,1,0.2,100,100,6.667
"2014-10-19 05:40:00",602,122,1,0.2,100,100,6.667
"2014-10-19 05:50:00",603,122,1,0.2,100,100,6.667
"2014-10-19 06:00:00",604,122,1,0.2,100,100,6.667
"2014-10-19 06:10:00",605,122,1,0.2,100,100,6.667
"2014-10-19 06:20:00",606,122,1,0.2,100,100,6.667
"2014-10-19 06:30:00",607,122,1,0.2,100,100,6.667
"2014-10-19 06:40:00",608,122,1,0.2,100,100,6.667
"2014-10-19 06:50:00",609,122,1,0.2,100,100,6.667
"2014-10-19 07:00:00",610,122,1,0.2,100,100,6.667
"2014-10-19 07:10:00",611,122,1,0.2,100,100,6.667
"2014-10-19 07:20:00",612,122,1,0.2,100,100,6.667
"2014-10-19 07:30:00",613,122,1,0.2,100,100,6.667
"2014-10-19 07:40:00",614,122,1,0.2,100,100,6.667
"2014-10-19 07:50:00",615,122,1,0.2,100,100,6.667
"2014-10-19 08:00:00",616,122,1,0.2,100,100,6.667
"2014-10-19 08:10:00",617,122,1,0.2,100,100,6.667
"2014-10-19 08:20:00",618,122,1,0.2,100,100,6.667
"2014-10-19 08:30:00",619,122,1,0.2,100,100,6.667
"2014-10-19 08:40:00",620,122,1,0.2,100,100,6.667
"2014-10-19 08:50:00",621,122,1,0.2,100,100,6.667
"2014-10-19 09:00:00",622,122,1,0.2,100,100,6.667
"2014-10-19 09:10:00",623,122,1,0.2,100,100,6.667
"2014-10-19 09:20:00",624,122,1,0.2,100,100,6.667
"2014-10-19 09:30:00",625,122,1,0.2,100,100,6.667
"2014-10-19 09:40:00",626,122,1,0.2,100,100,6.667
"2014-10-19 09:50:00",627,122,1,0.2,100,100,6.667
"2014-10-19 10:00:00",628,122,1,0.2,100,100,6.667
"2014-10-19 10:10:00",629,122,1,0.2,100,100,6.667
"2014-10-19 10:20:00",630,122,1,0.2,100,100,6.667
